timestamp,district,category,severity,message,action_taken,requires_human_review
2025-01-01 07:31,Eastfield,citizen_services,high,Citizen complaint volume in Eastfield up 41% week-over-week. Sentiment trending negative.,True,False
2025-01-01 19:09,Eastfield,infrastructure,medium,Streetlight outage cluster detected in Eastfield. 38 units offline. Maintenance crew dispatched.,True,False
2025-01-02 07:30,Riverside,finance,high,Revenue anomaly: Riverside parking revenue down 79% versus forecast. Investigate enforcement.,True,False
2025-01-03 09:03,Eastfield,environment,critical,Air quality index in Eastfield reached 83 AQI. Threshold exceeded. Recommend citizen advisory.,False,True
2025-01-03 10:08,Central,energy,high,EV charging demand in Central surged 33% above baseline. Recommend load balancing.,True,False
2025-01-05 13:23,Central,environment,critical,Air quality index in Central reached 62 AQI. Threshold exceeded. Recommend citizen advisory.,True,False
2025-01-05 08:08,Riverside,noise,medium,Noise levels in Riverside exceeded 64 dB for 3 consecutive hours. Investigate source.,True,False
2025-01-06 07:50,Central,waste,medium,Waste collection delay in Central. 33 bins at capacity. Route optimisation triggered.,False,False
2025-01-06 15:26,Northgate,environment,critical,Air quality index in Northgate reached 18 AQI. Threshold exceeded. Recommend citizen advisory.,False,True
2025-01-07 15:27,Greenpark,infrastructure,medium,Streetlight outage cluster detected in Greenpark. 15 units offline. Maintenance crew dispatched.,True,False
2025-01-07 18:11,Northgate,parking,high,Parking demand spike detected in Northgate. Occupancy at 21%. Recommend dynamic pricing increase.,False,True
2025-01-07 06:21,Eastfield,noise,medium,Noise levels in Eastfield exceeded 21 dB for 3 consecutive hours. Investigate source.,True,False
2025-01-08 11:40,Northgate,citizen_services,high,Citizen complaint volume in Northgate up 20% week-over-week. Sentiment trending negative.,True,False
2025-01-08 11:08,Greenpark,climate,medium,Temperature forecast: Greenpark expecting 64°C. Cooling centres recommended for vulnerable populations.,True,False
2025-01-09 12:46,Harbour,waste,medium,Waste collection delay in Harbour. 58 bins at capacity. Route optimisation triggered.,True,False
2025-01-09 07:04,Eastfield,parking,high,Parking demand spike detected in Eastfield. Occupancy at 88%. Recommend dynamic pricing increase.,True,False
2025-01-10 19:27,Eastfield,climate,medium,Temperature forecast: Eastfield expecting 63°C. Cooling centres recommended for vulnerable populations.,True,False
2025-01-10 19:10,Northgate,noise,medium,Noise levels in Northgate exceeded 27 dB for 3 consecutive hours. Investigate source.,True,False
2025-01-11 12:53,Eastfield,climate,medium,Temperature forecast: Eastfield expecting 87°C. Cooling centres recommended for vulnerable populations.,True,False
2025-01-12 17:30,Northgate,traffic,low,Traffic flow anomaly in Northgate. Volume 68% above prediction. Signal timing adjusted automatically.,True,False
2025-01-12 13:43,Central,energy,high,EV charging demand in Central surged 37% above baseline. Recommend load balancing.,True,False
2025-01-12 08:28,Riverside,energy,high,EV charging demand in Riverside surged 36% above baseline. Recommend load balancing.,False,True
2025-01-12 11:10,Central,noise,medium,Noise levels in Central exceeded 81 dB for 3 consecutive hours. Investigate source.,True,False
2025-01-13 20:48,Northgate,noise,medium,Noise levels in Northgate exceeded 64 dB for 3 consecutive hours. Investigate source.,True,False
2025-01-13 12:27,Eastfield,infrastructure,medium,Streetlight outage cluster detected in Eastfield. 57 units offline. Maintenance crew dispatched.,True,False
2025-01-13 06:05,Central,energy,high,EV charging demand in Central surged 53% above baseline. Recommend load balancing.,False,True
2025-01-14 15:35,Central,energy,high,EV charging demand in Central surged 67% above baseline. Recommend load balancing.,True,False
2025-01-14 20:35,Central,infrastructure,medium,Streetlight outage cluster detected in Central. 70 units offline. Maintenance crew dispatched.,True,False
2025-01-14 08:06,Eastfield,climate,medium,Temperature forecast: Eastfield expecting 46°C. Cooling centres recommended for vulnerable populations.,True,False
2025-01-15 14:01,Riverside,finance,high,Revenue anomaly: Riverside parking revenue down 88% versus forecast. Investigate enforcement.,True,False
2025-01-15 16:54,Eastfield,climate,medium,Temperature forecast: Eastfield expecting 26°C. Cooling centres recommended for vulnerable populations.,True,False
2025-01-15 18:44,Greenpark,environment,critical,Air quality index in Greenpark reached 66 AQI. Threshold exceeded. Recommend citizen advisory.,True,False
2025-01-15 06:12,Central,environment,critical,Air quality index in Central reached 72 AQI. Threshold exceeded. Recommend citizen advisory.,True,False
2025-01-16 13:39,Northgate,waste,medium,Waste collection delay in Northgate. 19 bins at capacity. Route optimisation triggered.,False,False
2025-01-16 14:13,Riverside,traffic,low,Traffic flow anomaly in Riverside. Volume 64% above prediction. Signal timing adjusted automatically.,True,False
